_raw,_time,host,source,sourcetype,index,,
"{""device"": ""AP13-13.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 8.63}",2019-01-17T06:26:07.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP04-12.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 0.78}",2019-01-17T06:26:07.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP01-19.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:06.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP05-15.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:06.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP05-15.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 0.78}",2019-01-17T06:26:06.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP16-09.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:06.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP08-09.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 11.76}",2019-01-17T06:26:06.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP09-08.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:26:05.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""*RAW_site1_tower_Avg"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 3.29}",2019-01-17T06:26:05.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""*RAW_site1_tower_Avg"", ""kpi"": ""clientCount_5GHz:RAW Guest"", ""site"": ""RAW_site1"", ""value"": 0.12}",2019-01-17T06:26:05.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""*RAW_site1_tower_Avg"", ""kpi"": ""ethThroughputWLC_RX"", ""site"": ""RAW_site1"", ""value"": 1.0}",2019-01-17T06:26:05.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
